year,content,doi,pdf,code,data,projects,featured,people
2015,"Henry, P. J., Wetherell, G., & Brandt, M. J. (2015). Democracy as a legitimizing ideology. <i>Peace and Conflict: Journal of Peace Psychology, 21</i>, 648-664.",https://doi.org/10.1037/pac0000117,https://osf.io/5kvt6/,,,bsd,,
2015,"Hoffman, W., Wisneski, D. C., Brandt, M. J., & Skitka, L. J. (2015). Response to comment on Morality in everyday life. <i>Science, 348</i>, 767. ",https://doi.org/10.1126/science.aaa3053,https://osf.io/24n3d/,,,,,
2015,"Open Science Collaboration. (2015). Estimating the reproducibility of psychological science. <i>Science, 349</i>, aac4716-1-aac4716-8.",https://doi.org/10.1126/science.aac4716,https://osf.io/yabgh/,https://osf.io/ezcuj/,https://osf.io/ezcuj/,improve,,
2015,"Wetherell, G., Benson, O., Reyna, C., & Brandt, M. J. (2015). Perceived value congruence and attitudes toward international relations and foreign policies. <i>Basic & Applied Social Psychology, 37</i>, 3-18.",https://doi.org/10.1080/01973533.2014.973108,https://osf.io/pe6wk/,,,,,
2014,"Brandt, M. J., IJzerman, H., & Blanken, I. (2014). Does recalling moral behavior change the perception of brightness? A replication and meta-analysis of Banerjee, Chatterjee, & Sinha (2012). <i>Social Psychology, 45</i>, 246-252.",https://doi.org/10.1027/1864-9335/a000191,https://osf.io/5a3wj/,https://osf.io/seqgd/,https://osf.io/seqgd/,"experiences, improve",,
2014,"Brandt, M. J., IJzerman, H., Dijksterhuis, A., Farach, F. J., Geller, J., Giner-Sorolla, R., Grange, J., A., Perugini, M., Spies, J. R., & van 't Veer, A. E. (2014). The Replication Recipe: What Makes for a Convincing Replication? <i>Journal of Experimental Social Psychology, 50</i>, 217-224.",https://doi.org/10.1016/j.jesp.2013.10.005,https://osf.io/f8xjk/,,,improve,,
2014,"Brandt, M. J., & Reyna, C. (2014). To love or hate thy neighbor: The role of core motives in explaining the link between fundamentalism and racial prejudice. <i>Political Psychology, 35</i>, 207-223.",https://doi.org/10.1111/pops.12077,https://osf.io/g65bu/,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/PIUB6H,,wvc,,
2014,"Brandt, M. J., Reyna, C., Chambers, J., Crawford, J., & Wetherell, G. (2014). The ideological-conflict hypothesis: Intolerance among both liberals and conservatives. <i>Current Directions in Psychological Science, 23</i>, 27-34.",https://doi.org/10.1177/0963721413510932,https://osf.io/tqdzj/,,,"bsd, wvc",,
2014,"Brandt, M. J., Wetherell, G., & Reyna, C. (2014). Liberals and conservatives can show similarities in negativity bias. <i>Behavioral and Brain Sciences, 37</i>, 307-308.",https://doi.org/10.1017/S0140525X13002513,https://osf.io/2dywb/,,,,,
2014,"Henry, P. J., Butler, S., & Brandt, M. J. (2014). The influence of target group status on the perception of the offensiveness of group-based slurs. <i>Journal of Experimental Social Psychology, 53</i>, 185-192.",https://doi.org/10.1016/j.jesp.2014.03.012,https://osf.io/dpycb/,,,,,
